Status,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Age_at_enrollment,Curricular_units_2nd_sem_enrolled,Curricular_units_1st_sem_enrolled,Admission_grade,Curricular_units_2nd_sem_evaluations,Previous_qualification_grade,Curricular_units_2nd_sem_without_evaluations
0,10,13.3,6,12.166666666666666,24,12,12,180.4,14,160.0,0
1,5,11.0,6,11.0,33,6,6,110.0,11,130.0,0
1,7,13.08,7,13.08,22,8,8,161.0,8,160.0,0
1,5,11.6,4,10.5,25,5,5,100.0,7,120.0,0
1,5,11.2,6,10.666666666666666,20,6,6,117.6,6,124.0,0
0,0,0.0,0,0.0,24,7,7,100.8,7,133.1,0
1,6,13.5,6,14.0,21,6,6,105.0,6,133.1,0
0,0,0.0,2,12.0,26,6,6,100.0,6,133.1,0
0,0,0.0,3,12.666666666666666,39,6,6,115.5,14,133.1,1
1,6,12.333333333333334,8,11.875,44,6,8,114.0,7,133.1,0
1,6,13.333333333333334,6,13.666666666666666,18,6,6,124.9,6,135.0,0
1,8,14.47777777777778,7,13.75,18,8,7,120.3,9,132.0,0
0,0,0.0,4,11.96,19,7,7,111.5,7,115.0,0
0,5,13.4,8,12.875,21,9,10,128.8,14,130.0,0
1,0,0.0,0,0.0,20,0,0,110.0,0,133.1,0
0,0,0.0,0,0.0,36,6,6,113.5,0,130.0,0
1,13,14.23076923076923,18,14.63157894736842,43,13,18,160.0,14,133.1,1
0,0,0.0,0,0.0,19,6,6,117.4,0,123.0,0
1,11,12.272727272727272,10,13.0,20,11,10,122.2,11,130.0,0
0,0,0.0,0,0.0,19,6,6,118.2,0,122.0,0
0,4,13.25,4,14.2,20,6,6,106.7,17,113.0,0
0,5,12.3,6,13.266666666666666,20,7,7,108.2,10,111.0,0
1,6,15.0,6,13.857142857142858,18,6,6,136.1,6,142.0,0
1,5,12.8,5,13.4,19,5,5,139.8,5,131.0,0
1,6,12.571428571428571,6,12.666666666666666,18,6,6,157.0,7,158.0,0
0,6,12.516666666666666,6,12.516666666666666,18,7,7,131.0,7,122.0,1
1,5,11.4,5,13.142857142857142,18,5,5,137.0,6,140.0,0
1,5,14.0,5,12.6,18,5,5,121.8,5,127.0,0
0,2,11.0,3,11.0,21,6,6,131.0,12,133.1,0
1,4,11.25,5,10.8,19,5,5,118.6,9,120.0,2
0,0,0.0,0,0.0,19,0,0,122.3,0,137.0,0
1,5,14.2,5,12.8,19,5,5,127.9,5,131.0,0
1,6,12.2,6,14.166666666666666,19,6,6,121.3,13,130.0,0
0,0,0.0,5,12.1,19,7,7,117.1,0,122.0,0
1,5,13.77777777777778,6,14.166666666666666,20,6,6,160.0,17,160.0,0
1,6,13.666666666666666,6,13.0,18,6,6,122.6,6,131.0,0
1,8,15.011111111111113,7,13.467142857142855,19,8,7,128.0,9,132.0,0
0,7,13.742857142857144,7,13.2375,18,8,7,124.9,9,138.0,0
1,6,13.0,6,12.333333333333334,18,6,6,123.7,6,130.0,0
1,5,14.6,5,12.4,19,5,5,120.1,5,126.0,0
0,0,0.0,5,14.0,19,7,7,131.7,7,148.0,0
1,7,11.714285714285714,9,11.666666666666666,20,7,9,133.2,8,130.0,0
0,4,12.5,5,12.0,19,6,6,109.3,9,117.0,0
1,4,11.5,4,12.2,20,5,5,113.0,5,120.0,0
1,6,14.833333333333334,6,14.833333333333334,18,6,6,157.9,6,153.0,0
1,8,17.5875,7,17.125,18,8,7,174.7,8,178.0,0
1,6,12.666666666666666,6,12.666666666666666,19,7,7,128.8,7,129.0,0
1,5,12.0,6,12.666666666666666,19,6,6,110.1,10,116.0,0
1,6,11.5,6,11.333333333333334,19,6,6,121.0,6,135.0,0
1,8,12.33125,7,13.605,19,8,7,131.7,11,141.0,0
1,5,10.8,5,12.0,19,6,6,119.1,9,132.0,0
0,0,0.0,0,0.0,19,5,5,124.7,10,132.0,0
0,3,11.666666666666666,5,11.2,20,6,6,117.2,12,113.0,0
1,5,14.166666666666666,5,13.375,18,5,5,128.8,9,134.0,0
1,7,14.178571428571429,6,13.863333333333337,20,8,7,131.5,9,136.0,0
1,5,13.4,5,12.4,19,5,5,123.4,6,129.0,0
1,5,11.8,6,13.333333333333334,18,6,6,132.8,8,137.0,0
0,3,10.0,3,12.666666666666666,21,6,6,108.7,12,115.0,0
0,4,11.5,6,12.0,19,6,6,138.1,10,129.0,0
1,5,11.8,5,10.6,18,5,5,126.5,5,131.0,0
1,6,11.857142857142858,6,12.25,18,6,6,127.4,7,133.0,0
1,6,11.833333333333334,4,11.0,20,6,6,123.6,9,125.0,0
1,5,12.6,5,11.0,24,6,6,122.0,9,120.0,0
0,6,13.0,6,13.166666666666666,19,6,6,118.2,9,128.0,0
1,7,12.761111111111113,7,12.855555555555554,18,8,7,123.9,12,127.0,0
1,8,15.355,7,14.91875,18,8,7,125.8,8,134.0,0
0,3,11.0,4,11.5,21,6,6,123.3,10,132.0,0
1,5,14.2,5,14.2,19,5,5,124.4,5,124.0,0
1,6,13.0,6,12.5,19,6,6,126.0,7,133.1,0
1,4,11.0,5,11.666666666666666,19,6,6,121.5,12,125.0,0
1,7,14.257142857142856,7,14.257142857142856,29,8,8,130.0,8,130.0,0
0,2,11.333333333333334,3,12.0,21,6,6,117.0,12,125.0,0
1,8,13.5625,7,12.457142857142856,20,8,7,108.0,8,133.1,0
1,6,11.683333333333332,6,11.683333333333332,19,7,7,132.3,7,131.0,0
1,5,12.0,3,11.666666666666666,26,6,6,148.0,8,150.0,0
0,6,13.166666666666666,4,11.75,20,6,6,122.6,6,125.0,0
1,5,12.0,5,13.2,27,6,6,102.5,10,130.0,0
0,4,11.95,4,11.95,20,7,7,113.3,8,123.0,0
0,5,10.4,5,12.4,18,6,6,133.0,12,141.0,0
0,6,14.583333333333334,6,14.35,33,8,7,140.0,10,140.0,0
1,19,12.789473684210526,21,12.61904761904762,35,19,21,128.3,19,140.0,0
0,0,0.0,5,12.0,27,6,6,104.0,6,133.1,0
0,0,0.0,6,12.166666666666666,19,6,6,122.3,6,131.0,0
0,0,0.0,0,0.0,20,6,6,135.0,0,143.0,0
0,3,10.571428571428571,3,10.0,20,5,5,119.1,9,132.0,0
1,6,13.05,6,13.05,18,7,7,129.0,7,141.0,0
0,0,0.0,2,11.0,24,6,6,162.3,6,133.1,0
1,6,12.0,6,11.5,20,6,6,163.4,6,148.0,0
1,6,12.5,6,12.0,21,6,6,121.5,6,125.0,0
0,0,0.0,0,0.0,24,5,5,118.0,5,140.0,0
0,0,0.0,0,0.0,21,6,6,134.0,0,139.0,0
1,7,12.242857142857144,7,12.242857142857144,18,8,8,129.8,8,142.0,0
0,0,0.0,0,0.0,27,5,5,152.0,0,130.0,0
1,8,12.93375,8,12.93375,18,8,8,122.8,8,126.0,0
0,0,0.0,0,0.0,35,5,5,150.0,0,150.0,0
1,7,14.428571428571429,7,12.571428571428571,18,7,7,131.8,8,130.0,0
1,4,14.333333333333334,4,13.75,19,5,5,132.1,13,138.0,2
1,6,11.333333333333334,6,11.166666666666666,20,6,6,127.4,6,127.0,0
1,7,12.324285714285711,7,12.324285714285711,18,8,8,129.5,8,140.0,0
1,6,11.714285714285714,6,12.166666666666666,21,6,6,126.7,7,130.0,0
1,4,11.25,5,11.142857142857142,18,6,6,116.5,11,128.0,0
1,4,10.75,4,11.0,18,6,6,119.1,9,132.0,0
1,7,12.914285714285713,7,12.914285714285713,18,8,8,126.5,8,149.0,0
1,6,14.166666666666666,6,13.833333333333334,18,6,6,149.8,6,155.0,0
1,5,13.4,6,13.857142857142858,19,6,6,115.1,9,120.0,0
0,5,12.8,6,13.714285714285714,36,6,6,124.5,6,133.1,0
1,7,12.642857142857142,7,12.642857142857142,18,8,8,128.3,8,131.0,0
1,6,12.916666666666666,6,12.916666666666666,18,7,7,136.0,7,149.0,0
1,6,15.857142857142858,6,15.625,20,6,6,140.0,8,140.0,0
0,0,0.0,0,0.0,26,5,5,126.3,8,133.1,0
1,6,12.0,6,11.714285714285714,21,6,6,126.9,7,122.0,0
1,5,11.6,5,11.6,19,5,5,115.8,5,121.0,0
0,0,0.0,1,10.0,24,6,6,100.0,6,120.0,6
0,0,0.0,1,10.0,27,6,6,102.5,13,133.1,0
0,2,13.5,0,0.0,21,5,5,131.5,9,121.0,0
1,3,12.333333333333334,4,13.0,18,5,5,147.0,8,133.0,0
1,6,14.5,6,13.333333333333334,19,6,6,122.5,6,134.0,0
0,2,12.5,4,11.25,18,6,6,117.5,13,115.0,0
1,7,12.19285714285714,5,13.85,19,8,7,150.0,9,127.0,0
1,7,14.9125,6,13.741666666666667,19,8,7,127.5,9,135.0,0
1,5,15.8,6,15.333333333333334,33,5,6,140.0,5,140.0,0
1,5,13.8,5,11.0,45,5,5,130.0,5,130.0,0
1,6,12.857142857142858,6,12.0,20,6,6,133.3,7,135.0,0
0,0,0.0,0,0.0,28,5,5,97.0,5,140.0,0
1,7,11.571428571428571,7,11.571428571428571,19,8,8,112.0,15,120.0,0
1,3,12.666666666666666,6,12.857142857142858,18,6,6,123.6,6,140.0,0
0,0,0.0,0,0.0,38,6,6,130.5,0,133.1,0
1,5,13.2,5,13.0,19,5,5,133.3,5,135.0,0
1,5,12.0,5,11.0,21,6,6,132.1,8,123.0,0
0,1,15.0,3,12.0,21,5,5,100.0,12,133.1,3
1,6,13.0,5,12.6,22,6,6,140.4,6,154.0,0
1,6,13.166666666666666,5,13.4,18,6,6,141.7,7,148.0,0
1,6,11.571428571428571,6,11.333333333333334,18,6,6,119.7,9,133.0,0
0,4,14.25,4,13.5,25,5,5,122.5,10,126.0,0
0,3,10.333333333333334,3,11.75,24,6,6,140.0,14,133.1,0
1,5,13.6,5,11.6,20,5,5,119.1,5,118.0,0
0,0,0.0,0,0.0,25,5,5,122.7,9,120.0,0
1,10,12.363636363636363,9,12.9,20,10,10,117.9,12,127.0,0
1,8,13.22,8,13.22,23,8,8,130.0,8,130.0,0
1,7,13.151428571428571,7,13.151428571428571,19,8,8,120.0,8,129.0,0
0,3,11.333333333333334,3,12.75,29,6,6,130.0,8,130.0,0
1,4,12.25,6,11.333333333333334,21,6,6,116.8,8,121.0,0
1,5,14.142857142857142,6,13.25,18,6,6,123.4,13,136.0,0
0,6,12.833333333333334,6,15.0,18,6,6,127.2,6,131.0,0
1,5,13.0,5,14.4,19,5,5,103.4,6,122.0,0
1,5,10.8,5,12.4,18,5,5,124.1,6,136.0,0
0,0,0.0,1,16.0,37,7,7,99.5,12,133.1,0
1,5,12.333333333333334,5,13.571428571428571,29,5,5,124.9,14,127.0,3
1,5,12.666666666666666,5,11.666666666666666,19,6,6,118.9,9,121.0,0
0,2,13.0,6,11.833333333333334,22,7,10,118.8,8,124.0,0
1,5,10.6,6,11.166666666666666,20,6,6,137.0,10,131.0,0
0,0,0.0,0,0.0,34,6,6,100.0,0,100.0,0
0,6,12.166666666666666,8,11.75,30,12,12,120.0,19,130.0,2
1,6,14.0,6,14.0,18,6,6,122.8,7,135.0,0
1,6,12.0,6,12.833333333333334,18,6,6,121.6,6,130.0,0
1,3,11.666666666666666,4,12.25,18,6,6,149.2,10,146.0,0
1,7,14.828571428571427,7,14.828571428571427,18,8,8,140.0,8,146.0,0
1,5,12.8,5,11.4,19,6,6,133.4,8,154.0,0
1,6,12.5,6,13.0,19,6,6,126.2,8,137.0,0
1,7,13.671428571428573,7,13.671428571428573,18,8,8,127.8,8,151.0,0
1,5,12.8,6,12.666666666666666,21,6,6,150.0,8,150.0,0
0,1,13.0,2,10.0,20,5,5,113.7,12,121.0,0
1,5,12.333333333333334,5,13.5,20,5,5,117.8,8,122.0,0
1,8,13.55,7,12.67,19,8,7,136.7,8,143.0,0
1,6,15.428571428571429,6,14.5,20,6,6,144.7,7,152.0,0
1,8,15.3875,7,13.685714285714283,18,8,7,139.8,8,145.0,0
0,3,10.666666666666666,5,11.0,20,6,6,113.7,10,120.0,0
0,5,13.2,7,11.555555555555555,29,7,9,140.0,12,140.0,2
1,7,13.812857142857142,7,14.00375,20,8,7,119.6,11,129.0,0
1,4,11.4,4,12.0,22,5,5,123.7,8,139.0,2
1,6,14.166666666666666,5,14.166666666666666,47,6,6,143.0,7,133.1,0
1,5,13.8,5,14.0,31,5,5,100.1,5,127.0,0
1,6,12.833333333333334,5,13.8,21,6,6,119.4,6,126.0,0
1,6,11.857142857142858,5,12.8,21,6,6,122.1,10,128.0,0
1,6,13.833333333333334,6,12.166666666666666,24,6,6,100.0,6,100.0,0
1,4,11.5,4,12.0,32,6,6,101.0,12,170.0,0
1,6,11.5,6,10.833333333333334,19,6,6,111.8,9,117.0,0
1,8,13.385,8,13.385,24,8,8,140.0,8,140.0,0
1,6,14.5,6,15.666666666666666,19,6,6,124.4,9,123.0,0
1,6,13.833333333333334,6,14.333333333333334,19,6,6,150.0,7,150.0,0
1,6,11.666666666666666,6,11.666666666666666,18,6,6,116.0,8,123.0,0
0,2,11.333333333333334,5,12.0,19,6,6,135.6,10,130.0,0
1,7,14.725714285714288,7,14.725714285714288,19,8,8,121.0,8,137.0,0
1,6,13.666666666666666,6,14.166666666666666,18,6,6,118.7,6,126.0,0
1,6,12.333333333333334,6,11.571428571428571,18,6,6,125.7,8,125.0,0
1,8,13.1375,7,12.5,20,8,7,107.1,8,112.0,0
1,8,12.86,8,12.86,18,8,8,125.5,10,141.0,2
1,6,13.714285714285714,6,12.25,18,6,6,127.0,9,135.0,0
1,5,12.2,4,12.0,21,5,5,113.5,5,117.0,0
1,8,16.168888888888887,7,15.116666666666667,18,8,7,154.4,9,160.0,0
0,4,10.25,2,12.5,18,5,5,122.0,6,136.0,0
0,0,0.0,0,0.0,19,6,6,128.0,0,143.0,0
1,4,14.6,6,11.875,18,6,6,117.2,11,120.0,0
0,0,0.0,1,11.0,34,5,5,150.0,5,150.0,0
1,5,13.2,5,15.2,19,5,5,155.3,6,142.0,0
0,2,11.0,5,11.6,19,6,6,120.0,12,120.0,0
1,6,15.142857142857142,6,14.833333333333334,26,6,6,116.1,7,160.0,0
0,3,11.333333333333334,3,11.333333333333334,21,6,6,118.9,10,133.1,0
1,5,11.8,5,11.2,18,5,5,127.3,5,142.0,0
1,5,13.666666666666666,5,13.4,20,6,6,113.7,9,121.0,0
0,0,0.0,2,10.5,25,5,5,118.5,5,135.0,0
1,5,16.4,5,16.2,18,5,5,146.7,5,153.0,0
1,8,14.88181818181818,7,14.542857142857144,18,8,7,124.3,11,140.0,0
1,8,14.355555555555554,7,13.694285714285714,19,8,7,137.8,9,152.0,0
1,6,11.857142857142858,6,11.285714285714286,18,6,6,130.2,10,120.0,0
0,0,0.0,0,0.0,26,6,3,150.0,0,150.0,0
1,7,13.058571428571428,7,13.058571428571428,19,8,8,100.0,8,100.0,0
1,8,14.055555555555555,7,14.3,19,8,7,155.6,9,150.0,0
1,8,12.0,5,11.8,19,10,10,117.4,14,124.0,0
1,3,11.666666666666666,6,10.571428571428571,18,6,6,117.5,11,121.0,0
1,6,13.333333333333334,6,13.333333333333334,19,7,7,120.4,7,134.0,0
1,5,11.0,6,11.857142857142858,18,6,6,130.9,9,134.0,0
0,0,0.0,0,0.0,26,5,5,151.0,5,151.0,0
1,6,13.0,6,12.0,20,6,6,103.5,7,107.0,0
1,6,11.666666666666666,6,12.666666666666666,19,6,6,119.4,6,126.0,0
1,6,13.666666666666666,6,12.166666666666666,18,6,6,134.4,9,133.0,0
1,6,14.666666666666666,6,13.333333333333334,19,6,6,143.0,6,140.0,0
1,7,14.571428571428571,7,15.0,40,7,7,110.0,7,110.0,0
1,8,13.39125,8,13.39125,18,8,8,132.5,8,141.0,0
1,6,12.428571428571429,5,12.166666666666666,19,6,6,114.7,8,122.0,0
1,4,12.5,4,11.25,18,5,5,166.9,6,156.0,0
0,0,0.0,0,0.0,18,0,0,178.3,0,188.0,0
1,6,12.857142857142858,6,12.833333333333334,33,6,6,117.0,8,120.0,0
1,6,13.1,6,14.0,35,6,6,150.0,11,130.0,0
1,6,12.5,6,13.5,18,6,6,135.1,8,140.0,0
1,5,11.666666666666666,5,11.0,39,5,5,136.2,9,133.1,0
1,6,13.833333333333334,6,13.0,44,6,6,116.0,6,120.0,0
0,4,11.5,4,12.6,24,6,6,116.3,6,117.0,0
1,6,13.333333333333334,6,13.666666666666666,20,6,6,134.0,6,123.0,0
0,0,0.0,0,0.0,19,0,0,124.2,0,127.0,0
1,6,14.2,6,14.2,18,7,7,134.5,7,151.0,0
0,0,0.0,5,11.0,22,6,6,120.7,12,127.0,0
1,6,16.428571428571427,6,15.0,18,6,6,127.1,7,133.0,0
1,7,13.44285714285714,6,12.585714285714284,24,8,7,133.0,9,133.1,0
0,0,0.0,0,0.0,33,5,5,128.2,0,133.1,0
0,0,0.0,0,0.0,26,6,6,172.0,0,160.0,0
1,6,11.833333333333334,6,11.666666666666666,18,6,6,128.5,10,140.0,0
0,2,10.0,3,12.666666666666666,19,6,6,128.5,12,146.0,0
1,7,13.714285714285714,8,13.5,22,9,11,142.5,16,140.0,0
1,6,15.75,6,16.153846153846153,21,6,6,106.0,10,133.1,0
1,6,14.033333333333331,6,14.033333333333331,21,7,7,125.5,7,136.0,0
1,6,13.666666666666666,7,13.857142857142858,19,7,7,112.9,8,122.0,0
0,7,13.414285714285716,7,13.414285714285716,18,8,8,124.8,8,138.0,0
1,7,13.571428571428571,11,13.545454545454543,50,7,11,140.9,7,160.0,0
1,6,14.428571428571429,6,13.833333333333334,19,6,6,148.4,7,161.0,0
1,5,12.857142857142858,5,12.0,35,5,5,129.7,9,140.0,0
0,0,0.0,0,0.0,31,6,6,128.2,0,133.1,0
0,0,0.0,0,0.0,34,5,5,119.9,0,130.0,0
1,8,15.287499999999998,7,15.135714285714286,18,8,7,141.0,8,152.0,0
0,6,10.978571428571428,5,12.74,26,8,7,140.0,12,133.1,0
1,6,13.166666666666666,6,13.428571428571429,19,6,6,117.0,6,125.0,0
1,8,11.11111111111111,9,12.555555555555555,20,9,11,140.2,14,140.0,0
1,6,11.166666666666666,6,11.5,19,6,6,129.3,7,124.0,0
1,6,12.333333333333334,6,13.666666666666666,18,6,6,145.3,9,140.0,0
1,10,12.0,11,11.272727272727272,28,11,14,146.2,16,130.0,0
1,6,14.166666666666666,6,14.666666666666666,21,6,6,156.1,6,160.0,0
0,5,11.4,5,13.0,18,6,6,128.4,8,141.0,0
0,2,12.333333333333334,2,10.5,20,5,5,115.0,8,120.0,0
1,6,14.0,6,14.857142857142858,18,6,6,158.7,7,166.0,0
1,7,12.86,7,12.86,19,8,8,124.5,11,147.0,0
1,11,12.0,11,11.727272727272728,20,11,11,111.9,14,121.0,0
1,3,12.0,6,13.142857142857142,22,6,6,150.0,10,150.0,0
0,4,13.714285714285714,5,11.8,18,6,6,114.2,9,124.0,0
0,0,0.0,3,10.666666666666666,19,5,5,96.0,9,96.0,3
1,7,14.731428571428571,7,14.731428571428571,19,8,8,131.3,8,142.0,0
1,0,0.0,0,0.0,18,0,0,137.1,0,135.0,0
1,12,14.25,13,13.615384615384617,21,12,13,120.0,12,120.0,0
1,5,14.8,5,15.8,27,5,5,139.0,5,140.0,0
1,6,14.571428571428571,6,14.666666666666666,19,6,6,129.1,7,135.0,0
0,0,0.0,0,0.0,25,5,5,128.2,5,133.1,0
1,7,14.654285714285717,7,14.654285714285717,18,8,8,120.8,8,137.0,0
1,7,12.401428571428571,7,12.401428571428571,24,8,8,135.8,8,122.0,0
1,7,14.071428571428571,7,11.5875,20,8,7,118.9,9,128.0,0
1,5,15.6,5,14.0,26,5,5,140.0,5,140.0,0
1,6,11.833333333333334,6,12.333333333333334,20,6,6,127.1,6,132.0,0
1,5,15.4,5,14.0,18,5,5,137.0,6,131.0,0
1,6,12.375,6,15.23076923076923,19,6,6,127.4,10,126.0,0
0,3,11.0,5,11.6,23,6,6,97.0,9,133.1,0
1,6,11.6,6,11.6,18,7,7,126.3,7,136.0,0
0,0,0.0,0,0.0,18,8,7,127.5,0,140.0,0
1,8,13.094444444444443,7,12.901428571428571,19,8,7,126.6,9,135.0,0
1,5,14.8,7,14.142857142857142,30,5,7,120.0,5,160.0,0
0,0,0.0,0,0.0,29,6,6,140.0,0,140.0,0
1,8,13.25375,8,13.25375,19,8,8,131.5,8,140.0,0
1,8,14.1,7,13.785714285714286,20,8,7,112.2,8,115.0,0
1,6,13.916666666666666,6,13.916666666666666,20,7,7,150.5,7,144.0,0
1,6,13.571428571428571,6,13.5,19,6,6,121.0,9,128.0,0
0,0,0.0,0,0.0,21,5,5,129.4,12,135.0,4
1,4,14.6,5,11.5,19,6,6,114.4,9,121.0,0
1,7,12.082857142857142,7,12.082857142857142,18,8,8,120.3,8,134.0,0
1,5,12.8,6,11.833333333333334,27,6,6,120.0,10,120.0,0
1,5,12.4,5,13.4,19,5,5,114.5,5,125.0,0
0,0,0.0,0,0.0,19,7,7,127.8,7,141.0,2
1,6,14.571428571428571,5,14.2,19,6,6,124.6,7,140.0,0
1,7,13.814285714285717,7,13.814285714285717,18,8,8,130.3,8,144.0,0
1,6,13.666666666666666,6,14.5,18,6,6,118.8,8,130.0,0
0,0,0.0,0,0.0,19,6,6,133.0,0,133.1,0
1,6,11.3,6,11.3,36,7,7,129.0,7,133.1,0
1,7,12.3,7,12.3,19,8,8,132.5,9,136.0,0
1,7,12.694285714285714,7,12.694285714285714,18,8,8,120.3,8,127.0,0
1,4,11.0,4,11.0,18,5,5,114.6,5,123.0,0
1,6,14.166666666666666,6,13.0,19,6,6,116.5,6,128.0,0
1,8,16.05,7,14.4125,19,8,7,127.8,8,128.0,0
0,8,14.0625,7,12.92875,18,8,7,129.9,8,140.0,0
1,5,12.8,6,13.333333333333334,20,6,6,118.9,10,121.0,0
1,7,14.402857142857142,7,14.402857142857142,20,8,8,114.8,8,126.0,0
1,7,13.381428571428572,7,13.381428571428572,18,8,8,123.0,8,135.0,0
1,8,13.98375,7,14.13125,18,8,7,122.1,8,131.0,0
1,5,12.6,5,11.714285714285714,19,5,5,123.7,6,140.0,0
1,2,11.0,6,11.166666666666666,44,6,6,114.8,15,130.0,1
0,0,0.0,0,0.0,32,6,6,130.0,6,130.0,0
0,5,12.0,5,13.6,22,6,6,122.3,8,140.0,0
1,11,14.090909090909092,12,13.846153846153848,36,12,12,152.4,18,130.0,0
1,6,13.333333333333334,6,12.5,18,6,6,120.1,8,125.0,0
1,5,14.6,5,16.4,20,5,5,155.1,5,160.0,0
1,11,13.454545454545457,11,13.818181818181818,20,11,11,124.5,11,130.0,0
1,4,10.5,5,10.6,19,6,6,126.9,11,144.0,0
1,5,12.2,5,10.2,24,5,5,153.2,6,133.1,0
0,5,10.8,9,11.444444444444445,27,11,10,135.0,11,133.1,0
1,13,13.266666666666667,16,13.0,23,13,16,125.2,15,129.0,0
1,8,13.31,8,13.31,18,8,8,141.3,9,144.0,1
1,5,12.2,5,10.571428571428571,18,6,6,117.1,9,120.0,0
